kernel,impl,size,ms
softmax,triton,256,0.009051172733488164
softmax,torch,256,0.008917480046413725
rmsnorm,triton,256,0.007873029196879974
rmsnorm,torch,256,0.02561705293100967
gemm,triton,256,0.022182987551971137
gemm,torch,256,0.017895335343021613
softmax,triton,512,0.008745279473563036
softmax,torch,512,0.010038843650403804
rmsnorm,triton,512,0.009407624073064011
rmsnorm,torch,512,0.027849337657089118
gemm,triton,512,0.03711611649546868
gemm,torch,512,0.03309380830962117
softmax,triton,1024,0.013182755824740437
softmax,torch,1024,0.015327027386003443
rmsnorm,triton,1024,0.01344655535561181
rmsnorm,torch,1024,0.03839003104915307
gemm,triton,1024,0.1651125615889873
gemm,torch,1024,0.13501950345329336
softmax,triton,2048,0.028215848518577172
softmax,torch,2048,0.03320190672391128
rmsnorm,triton,2048,0.02974861017349413
rmsnorm,torch,2048,0.09427821285467833
gemm,triton,2048,1.005109843753633
gemm,torch,2048,0.9757521748542786
softmax,triton,4096,0.08784314858763387
softmax,torch,4096,0.10121141768867474
rmsnorm,triton,4096,0.08920567492939514
rmsnorm,torch,4096,0.3213988565096334
gemm,triton,4096,7.496925537402813
gemm,torch,4096,7.221341536595271
softmax,triton,8192,0.3212215157932249
softmax,torch,8192,0.44790046523476756
rmsnorm,triton,8192,0.3216325940087784
rmsnorm,torch,8192,1.1667473629901284
gemm,triton,8192,59.508705139160156
gemm,torch,8192,57.33504104614258
