kernel,impl,size,ms
softmax,triton,256,0.010608564788366066
softmax,torch,256,0.010992188346298302
rmsnorm,triton,256,0.007254211747032754
rmsnorm,torch,256,0.025337142936353172
gemm,triton,256,0.03047961876949384
gemm,torch,256,0.02538476205830063
softmax,triton,512,0.012507106002201052
softmax,torch,512,0.012850070689969203
rmsnorm,triton,512,0.013459952920675278
rmsnorm,torch,512,0.030201523653453306
gemm,triton,512,0.06871726854545314
gemm,torch,512,0.05870634167477852
softmax,triton,1024,0.03867411990481687
softmax,torch,1024,0.03945214422531875
rmsnorm,triton,1024,0.039438650146665345
rmsnorm,torch,1024,0.130494359594125
gemm,triton,1024,0.5265787948691656
gemm,torch,1024,0.43428520598108805
softmax,triton,2048,0.1481928435203276
softmax,torch,2048,0.158238735049963
rmsnorm,triton,2048,0.1496513705504568
rmsnorm,torch,2048,0.5094794680674871
gemm,triton,2048,6.041164193834577
gemm,torch,2048,4.337059603797065
softmax,triton,4096,0.5797052291723398
softmax,torch,4096,0.5515437300862938
rmsnorm,triton,4096,0.5923284156280652
rmsnorm,torch,4096,1.9628740064799786
gemm,triton,4096,52.51232147216797
gemm,torch,4096,37.4006233215332
softmax,triton,8192,2.3404205782072887
softmax,torch,8192,2.1633202947419266
rmsnorm,triton,8192,2.34023654460907
rmsnorm,torch,8192,7.730815930800005
gemm,triton,8192,460.6758117675781
gemm,torch,8192,309.5961608886719
