kernel,impl,size,ms
softmax,triton,256,0.009716309568103714
softmax,torch,256,0.01047370285451823
rmsnorm,triton,256,0.008450543377386955
rmsnorm,torch,256,0.026150956434976075
gemm,triton,256,0.01102063794038779
gemm,torch,256,0.010328712366031905
softmax,triton,512,0.008714939814049706
softmax,torch,512,0.010649666220411944
rmsnorm,triton,512,0.00912047061822651
rmsnorm,torch,512,0.02868418302691353
gemm,triton,512,0.014488012055090083
gemm,torch,512,0.012191192900557458
softmax,triton,1024,0.011568245402268746
softmax,torch,1024,0.01567678055271688
rmsnorm,triton,1024,0.010654708097243438
rmsnorm,torch,1024,0.03666888736188412
gemm,triton,1024,0.02564123769601186
gemm,torch,1024,0.021999493919171487
softmax,triton,2048,0.017895793557287223
softmax,torch,2048,0.028637759032559124
rmsnorm,triton,2048,0.018523177403950805
rmsnorm,torch,2048,0.06527916234747277
gemm,triton,2048,0.11710296510093247
gemm,torch,2048,0.07561285346434705
softmax,triton,4096,0.04859488122022472
softmax,torch,4096,0.09939749435178089
rmsnorm,triton,4096,0.05017540408940067
rmsnorm,torch,4096,0.23225066622440843
gemm,triton,4096,0.9846528034943801
gemm,torch,4096,0.554376277473423
softmax,triton,8192,0.1681100881699496
softmax,torch,8192,0.45380033067697606
rmsnorm,triton,8192,0.16700377918642723
rmsnorm,torch,8192,0.8189074266524542
gemm,triton,8192,14.995434761047363
gemm,torch,8192,4.2674826780955
