kernel,impl,size,ms
softmax,triton,256,0.0065469767919979814
softmax,torch,256,0.007148651167923628
rmsnorm,triton,256,0.0056368372792941195
rmsnorm,torch,256,0.021321035198429053
gemm,triton,256,0.03311085694336465
gemm,torch,256,0.011496658864266733
softmax,triton,512,0.008655058800735894
softmax,torch,512,0.01104818603976868
rmsnorm,triton,512,0.009252894143847858
rmsnorm,torch,512,0.02826742867806128
gemm,triton,512,0.16292622064550719
gemm,torch,512,0.01957722343504429
softmax,triton,1024,0.02169561909422988
softmax,torch,1024,0.02331161902596553
rmsnorm,triton,1024,0.02142514286208011
rmsnorm,torch,1024,0.06516956074572192
gemm,triton,1024,1.8616950259064182
gemm,torch,1024,0.07107595069172942
softmax,triton,2048,0.0746125438147121
softmax,torch,2048,0.09438440054655076
rmsnorm,triton,2048,0.07558281535719648
rmsnorm,torch,2048,0.2854868428430695
gemm,triton,2048,16.71108474731445
gemm,torch,2048,0.6184651203322828
softmax,triton,4096,0.2919783535249093
softmax,torch,4096,0.45646577789669945
rmsnorm,triton,4096,0.2944208720455999
rmsnorm,torch,4096,1.1104775110880534
gemm,triton,4096,138.10479736328125
gemm,torch,4096,6.706684052944183
softmax,triton,8192,1.1544335285822551
softmax,torch,8192,1.8561027395097833
rmsnorm,triton,8192,1.1776053394590105
rmsnorm,torch,8192,4.76348270310296
gemm,triton,8192,1135.8204345703125
gemm,torch,8192,55.46198272705078
